Key,Model,Engine,Type,Size,Context,Speed,VRAM,Provider,Family,Best Used For / Capabilities
deepseek-1.5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,transformers,fast,1.5B,32k,~90+ t/s,~4 GB,DeepSeek,DeepSeek R1,A fantastic middle ground of speed and distilled logic.
deepseek-7b,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,transformers,balanced,7B,128k,25-30 t/s,~8 GB (8-bit),DeepSeek,DeepSeek R1,Strong reasoning distilled from DeepSeek core.
deepseek-8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,transformers,balanced,8B,128k,25-30 t/s,~8.5 GB (8-bit),DeepSeek,DeepSeek R1,Top-tier academic and mathematical reasoning.
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,transformers,large,14B,128k,15-20 t/s,~10 GB (4-bit),DeepSeek,DeepSeek R1,Highly complex logical problems. The T4 ceiling.
deepseek-coder-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,transformers,large,16B,128k,15-20 t/s,~12 GB (4-bit),DeepSeek,DeepSeek Coder,Efficient Mixture-of-Experts (MoE) coding architecture.
gemma-4-e2b,google/gemma-4-E2B,transformers,ultra-fast,2B,8k,~100+ t/s,~2.5 GB,Google,Gemma 4,Base edge model optimized for local mobile execution.
gemma-4-e2b-it,google/gemma-4-E2B-it,transformers,ultra-fast,2B,8k,~100+ t/s,~2.5 GB,Google,Gemma 4,Google's flagship ultra-lightweight edge model with native audio and vision.
gemma-4-e2b-it-qat,google/gemma-4-E2B-it-qat-mobile-transformers,transformers,ultra-fast,2B,8k,~100+ t/s,~2.5 GB,Google,Gemma 4,Mobile Optimized QAT variant for direct on-device text/audio/vision tasks.
gemma-4-e4b,google/gemma-4-E4B,transformers,fast,4B,8k,~60+ t/s,~4.5 GB,Google,Gemma 4,Base edge-optimized model for high-end phones and laptops.
gemma-4-e4b-it,google/gemma-4-E4B-it,transformers,fast,4B,8k,~60+ t/s,~4.5 GB,Google,Gemma 4,Edge-optimized model for high-end phones and laptops with native audio/vision.
gemma-4-12b,google/gemma-4-12B,transformers,large,12B,8k,~20+ t/s,~8 GB (4-bit),Google,Gemma 4,Base unified multimodal encoder-free model.
gemma-4-12b-it,google/gemma-4-12B-it,transformers,large,12B,8k,~20+ t/s,~8 GB (4-bit),Google,Gemma 4,"Unified multimodal encoder-free model, the workstation sweet-spot."
gemma-4-26b-a4b,google/gemma-4-26B-A4B,transformers,large,26B,8k,~15+ t/s,~16 GB (4-bit),Google,Gemma 4,Highly efficient Mixture-of-Experts (MoE) variant with 3.8B active parameters.
gemma-4-31b,google/gemma-4-31B,transformers,massive,31B,8k,~10+ t/s,~20 GB (4-bit),Google,Gemma 4,Flagship dense base model tailored for consumer GPUs.
gemma-4-31b-it,google/gemma-4-31B-it,transformers,massive,31B,8k,~10+ t/s,~20 GB (4-bit),Google,Gemma 4,"Flagship dense model maximizing reasoning, long-context, and planning."
gemma2-2b,google/gemma-2-2b-it,transformers,fast,2.6B,8k,~75+ t/s,~6 GB,Google,Gemma 2,Google's dense architecture for logic puzzles.
gemma2-9b,google/gemma-2-9b-it,transformers,balanced,9B,8k,20-25 t/s,~10 GB (8-bit),Google,Gemma 2,High-end general text tasks (hits above its weight class).
codegemma-7b,google/codegemma-7b-it,transformers,balanced,7B,8k,25-30 t/s,~8 GB (8-bit),Google,CodeGemma,Google's specialized instruction-following code model.
gemma2-9b-abliterated-gguf,bartowski/gemma-2-9b-it-abliterated-GGUF,llamacpp,balanced,9B,8k,20-25 t/s,~6.5 GB (4-bit),Google (Abliterated),Gemma 2,"Punches above its weight in logic and coding, abliterated for complex technical teardowns."
smollm2-135m,HuggingFaceTB/SmolLM2-135M-Instruct,transformers,ultra-fast,135M,8k,~250+ t/s,~1 GB,Hugging Face,SmolLM2,Edge devices and extreme micro-tasks.
smollm2-360m,HuggingFaceTB/SmolLM2-360M-Instruct,transformers,ultra-fast,360M,8k,~200+ t/s,~1.5 GB,Hugging Face,SmolLM2,Ultra-lightweight log parsing and routing.
smollm2-1.3b,HuggingFaceTB/SmolLM2-1.3B-Instruct,transformers,fast,1.3B,8k,~100+ t/s,~3.5 GB,Hugging Face,SmolLM2,"Tagging, filtering, and structuring web-scraped data."
granite-3-2b,ibm-granite/granite-3.0-2b-instruct,transformers,fast,2B,4k,~80+ t/s,~5 GB,IBM,Granite 3,Enterprise-grade strict adherence and JSON output.
granite-3-8b,ibm-granite/granite-3.0-8b-instruct,transformers,balanced,8B,4k,25-30 t/s,~8.5 GB (8-bit),IBM,Granite 3,Strict JSON formatting and enterprise text pipelines.
llama3.2-1b,meta-llama/Llama-3.2-1B-Instruct,transformers,fast,1B,128k,~120+ t/s,~3.5 GB,Meta,Llama 3.2,Meta's fastest agentic reasoning and on-device logic.
llama3.2-3b,meta-llama/Llama-3.2-3B-Instruct,transformers,fast,3B,128k,~60+ t/s,~6.5 GB,Meta,Llama 3.2,The smartest model while staying above 50 tokens/sec.
llama3.2-11b-vl,meta-llama/Llama-3.2-11B-Vision-Instruct,transformers,large,11B,128k,15-20 t/s,~8 GB (4-bit),Meta,Llama 3.2,Meta's flagship vision model. Needs strict 4-bit loading.
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,transformers,balanced,8B,128k,25-30 t/s,~8.5 GB (8-bit),Meta,Llama 3.1,The industry standard baseline for general instruction.
llama3.1-8b-abliterated,mlabonne/meta-llama-3.1-8B-Instruct-abliterated,transformers,balanced,8B,128k,25-30 t/s,~8.5 GB (8-bit),Meta (Abliterated),Llama 3.1,"Official Llama 3.1 8B with refusal mechanism removed, preserving original intelligence."
phi4-mini,microsoft/Phi-4-mini-instruct,transformers,fast,3.8B,128k,~50+ t/s,~8 GB,Microsoft,Phi 4,Microsoft's latest reasoning-dense logic model.
phi4-multimodal,microsoft/Phi-4-multimodal-instruct,transformers,fast,~4B,128k,~45+ t/s,~8 GB,Microsoft,Phi 4,Audio and image reasoning in a single pass.
phi3.5-mini,microsoft/Phi-3.5-mini-instruct,transformers,fast,3.8B,128k,~50+ t/s,~8 GB,Microsoft,Phi 3.5,Logic-heavy tasks within constrained memory spaces.
mistral-v0.3,mistralai/Mistral-7B-Instruct-v0.3,transformers,balanced,7.3B,32k,25-30 t/s,~8 GB (8-bit),Mistral,Mistral,Excellent general instruction following.
mistral-nemo,mistralai/Mistral-Nemo-Instruct-2407,transformers,large,12B,128k,15-20 t/s,~9 GB (4-bit),Mistral,Mistral Nemo,Advanced general tasks with a massive context window.
mathstral-7b,mistralai/Mathstral-7B-v0.1,transformers,balanced,7.3B,32k,25-30 t/s,~8 GB (8-bit),Mistral,Mathstral,Specialized mathematical theorems and proofs.
starling-7b,Nexusflow/Starling-LM-7B-beta,transformers,balanced,7B,8k,25-30 t/s,~8 GB (8-bit),Nexusflow,Starling,Generating high-quality conversational training datasets.
hermes-3-8b,NousResearch/Hermes-3-Llama-3.1-8B,transformers,balanced,8B,128k,25-30 t/s,~8.5 GB (8-bit),Nous Research,Hermes,"Highly uncensored, deeply agentic roleplay and logic."
minicpm3-4b,openbmb/MiniCPM3-4B,transformers,fast,4B,32k,~50+ t/s,~8 GB,OpenBMB,MiniCPM,Processing of technical logs and backend routing logic.
minicpm-v-2.6,openbmb/MiniCPM-V-2_6,transformers,balanced,~8B,32k,20-25 t/s,~8.5 GB (8-bit),OpenBMB,MiniCPM,Incredible vision-language understanding on a budget.
stablelm-3b,stabilityai/stablelm-zephyr-3b,transformers,fast,3B,4k,~60+ t/s,~6.5 GB,Stability AI,StableLM,Snappy text generation and intermediate API bridging.
stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,diffusers,balanced,1B,N/A,~2-4 s/img,~4.5 GB,Stability AI,Stable Diffusion,Fast and classic text-to-image synthesis.
